Id	Label	Author	PrettyName
data augmentation can improve robustness	Data Augmentation Can Improve Robustness	Rebufﬁ, Sylvestre-Alvise; Gowal, Sven; Calian, Dan; Stimberg, Florian; Wiles, Olivia; Mann, Timothy	Rebufﬁ et al. 
fixing data augmentation to improve adversarial robustness	Fixing Data Augmentation to Improve Adversarial Robustness	Rebuffi, Sylvestre-Alvise; Gowal, Sven; Calian, Dan A.; Stimberg, Florian; Wiles, Olivia; Mann, Timothy	Rebuffi et al. 2021
augmix a simple data processing method to improve robustness and uncertainty	AugMix: A Simple Data Processing Method to Improve Robustness and Uncertainty	Hendrycks, Dan; Mu, Norman; Cubuk, Ekin D.; Zoph, Barret; Gilmer, Justin; Lakshminarayanan, Balaji	Hendrycks et al. 2020
explainability for artificial intelligence in healthcare a multidisciplinary perspective	Explainability for artificial intelligence in healthcare: a multidisciplinary perspective	the Precise4Q consortium; Amann, Julia; Blasimme, Alessandro; Vayena, Effy; Frey, Dietmar; Madai, Vince I.	the Precise4Q consortium et al. 2020
building ethics into artificial intelligence	Building Ethics into Artificial Intelligence	Yu, Han; Shen, Zhiqi; Miao, Chunyan; Leung, Cyril; Lesser, Victor R.; Yang, Qiang	Yu et al. 2018
opportunities and challenges in explainable artificial intelligence xai a survey	Opportunities and Challenges in Explainable Artificial Intelligence (XAI): A Survey	Das, Arun; Rad, Paul	Das &  Rad 2020
putting ai ethics to work are the tools fit for purpose	Putting AI ethics to work: are the tools fit for purpose?	Ayling, Jacqui; Chapman, Adriane	Ayling &  Chapman 2022
the ethics of ai in health care a mapping review	The ethics of AI in health care: A mapping review	Morley, Jessica; Machado, Caio C.V.; Burr, Christopher; Cowls, Josh; Joshi, Indra; Taddeo, Mariarosaria; Floridi, Luciano	Morley et al. 2020
principles alone cannot guarantee ethical ai	Principles alone cannot guarantee ethical AI	Mittelstadt, Brent	Mittelstadt  2019
a survey on ethical principles of ai and implementations	A Survey on Ethical Principles of AI and Implementations	Zhou, Jianlong; Chen, Fang; Berry, Adam; Reed, Mike; Zhang, Shujia; Savage, Siobhan	Zhou et al. 2020
ethical principles and governance technology development of ai in china elsevier enhanced reader	Ethical Principles and Governance Technology Development of AI in China | Elsevier Enhanced Reader		  
the forgotten margins of ai ethics	The Forgotten Margins of AI Ethics	Birhane, Abeba; Ruane, Elayne; Laurent, Thomas; S. Brown, Matthew; Flowers, Johnathan; Ventresque, Anthony; L. Dancy, Christopher	Birhane et al. 2022
coverage of ethics within the artificial intelligence and machine learning academic literature the case of disabled people	Coverage of ethics within the artificial intelligence and machine learning academic literature: The case of disabled people	Lillywhite, Aspen; Wolbring, Gregor	Lillywhite &  Wolbring 2021
unbiased look at dataset bias	Unbiased look at dataset bias	Torralba, Antonio; Efros, Alexei A.	Torralba &  Efros 2011
chatgpt is not all you need a state of the art review of large generative ai models	ChatGPT is not all you need. A State of the Art Review of large Generative AI models	Gozalo-Brizuela, Roberto; Garrido-Merchan, Eduardo C.	Gozalo-Brizuela &  Garrido-Merchan 2023
